"current_location","current_experience","current_date","current_what_do"
"Location_0",0,"05.09.2020 15:14:09","Игрок предротнял новую попытку пройти игру"
"Location_0",0,"05.09.2020 15:14:09","Игрок раздумывает - что предпринять"
"Location_0",10,"05.09.2020 15:14:17","Игрок убил врага"
"Location_0",10,"05.09.2020 15:14:17","Игрок раздумывает - что предпринять"
"Location_2",10,"05.09.2020 15:14:35","Игрок перешел в другую пещеру"
"Location_2",10,"05.09.2020 15:14:35","Игрок раздумывает - что предпринять"
"Location_2",30,"05.09.2020 15:14:43","Игрок убил врага"
"Location_2",30,"05.09.2020 15:14:43","Игрок раздумывает - что предпринять"
"Location_5",30,"05.09.2020 15:14:46","Игрок перешел в другую пещеру"
"Location_5",30,"05.09.2020 15:14:46","Игрок раздумывает - что предпринять"
"Location_9",30,"05.09.2020 15:14:48","Игрок перешел в другую пещеру"
"Location_9",30,"05.09.2020 15:14:48","Игрок раздумывает - что предпринять"
"Location_9",60,"05.09.2020 15:14:51","Игрок убил врага"
"Location_9",60,"05.09.2020 15:14:51","Игрок раздумывает - что предпринять"
"Location_11",60,"05.09.2020 15:14:53","Игрок перешел в другую пещеру"
"Location_11",60,"05.09.2020 15:14:53","Игрок раздумывает - что предпринять"
"Location_11",160,"05.09.2020 15:14:58","Игрок убил врага"
"Location_11",160,"05.09.2020 15:14:58","Игрок раздумывает - что предпринять"
"Location_B2",160,"05.09.2020 15:15:02","Игрок перешел в другую пещеру"
"Location_B2",160,"05.09.2020 15:15:02","Игрок раздумывает - что предпринять"
"Location_B2",200,"05.09.2020 15:15:05","Игрок убил врага"
"Location_B2",200,"05.09.2020 15:15:05","Игрок раздумывает - что предпринять"
"Location_B2",200,"05.09.2020 15:15:11","Игрок нашел выход и победил"
